date,rating,title,tail,artist,song,title_original,title_english
,50,"Kendrick Lamar – Sing About Me, I'm Dying of Thirst",Low personal taste — experiment,Kendrick Lamar,"Sing About Me, I'm Dying of Thirst",,
,50,Kendrick Lamar – Wesley's Theory,Low personal taste — experiment,Kendrick Lamar,Wesley's Theory,,
,50,Kendrick Lamar – The Blacker the Berry,Low personal taste — experiment,Kendrick Lamar,The Blacker the Berry,,
,50,Kendrick Lamar – M.A.A.D City,Low personal taste — experiment,Kendrick Lamar,M.A.A.D City,,
,50,Kendrick Lamar – Alright,Low personal taste — experiment,Kendrick Lamar,Alright,,
,70,Kendrick Lamar – King Kunta,Low personal taste — experiment,Kendrick Lamar,King Kunta,,
,50,Kendrick Lamar – Money Trees,Low personal taste — experiment,Kendrick Lamar,Money Trees,,
,50,Kendrick Lamar – u,Low personal taste — experiment,Kendrick Lamar,u,,
,50,Kendrick Lamar – Fear.,Low personal taste — experiment,Kendrick Lamar,Fear.,,
,50,Kendrick Lamar – Duckworth.,Low personal taste — experiment,Kendrick Lamar,Duckworth.,,
,50,Kendrick Lamar – Swimming Pools (Drank),Low personal taste — experiment,Kendrick Lamar,Swimming Pools (Drank),,
,50,Kendrick Lamar – Backseat Freestyle,Low personal taste — experiment,Kendrick Lamar,Backseat Freestyle,,
,50,"Kendrick Lamar – Bitch, Don't Kill My Vibe",Low personal taste — experiment,Kendrick Lamar,"Bitch, Don't Kill My Vibe",,
,50,Kendrick Lamar – Rigamortus,Low personal taste — experiment,Kendrick Lamar,Rigamortus,,
,50,Kendrick Lamar – Hol' Up,Low personal taste — experiment,Kendrick Lamar,Hol' Up,,
,50,Kendrick Lamar – Poetic Justice,Low personal taste — experiment,Kendrick Lamar,Poetic Justice,,
,50,Kendrick Lamar – good kid,Low personal taste — experiment,Kendrick Lamar,good kid,,
,50,Kendrick Lamar – Sherane a.k.a Master Splinter's Daughter,Low personal taste — experiment,Kendrick Lamar,Sherane a.k.a Master Splinter's Daughter,,
,50,Kendrick Lamar – A.D.H.D,Low personal taste — experiment,Kendrick Lamar,A.D.H.D,,
,50,Kendrick Lamar – Blow My High (Members Only),Low personal taste — experiment,Kendrick Lamar,Blow My High (Members Only),,
,50,Kendrick Lamar – The Heart Part 5,Low personal taste — experiment,Kendrick Lamar,The Heart Part 5,,
,50,Kendrick Lamar – N95,Low personal taste — experiment,Kendrick Lamar,N95,,
,50,Kendrick Lamar – We Cry Together,Low personal taste — experiment,Kendrick Lamar,We Cry Together,,
,50,Kendrick Lamar – Die Hard,Low personal taste — experiment,Kendrick Lamar,Die Hard,,
,50,Kendrick Lamar – Savior,Low personal taste — experiment,Kendrick Lamar,Savior,,
,50,Kendrick Lamar – Father Time,Low personal taste — experiment,Kendrick Lamar,Father Time,,
,50,Kendrick Lamar – United in Grief,Low personal taste — experiment,Kendrick Lamar,United in Grief,,
,50,Kendrick Lamar – Worldwide Steppers,Low personal taste — experiment,Kendrick Lamar,Worldwide Steppers,,
,50,Kendrick Lamar – Rich Spirit,Low personal taste — experiment,Kendrick Lamar,Rich Spirit,,
,50,Kendrick Lamar – Count Me Out,Low personal taste — experiment,Kendrick Lamar,Count Me Out,,
,50,Kendrick Lamar – Mirror,Low personal taste — experiment,Kendrick Lamar,Mirror,,
,50,Kendrick Lamar – Crown,Low personal taste — experiment,Kendrick Lamar,Crown,,
,50,Kendrick Lamar – Purple Hearts,Low personal taste — experiment,Kendrick Lamar,Purple Hearts,,
,50,Kendrick Lamar – Meet the Grahams,Low personal taste — experiment,Kendrick Lamar,Meet the Grahams,,
,50,Kendrick Lamar – Not Like Us,Low personal taste — experiment,Kendrick Lamar,Not Like Us,,
,50,Kendrick Lamar – Euphoria,Low personal taste — experiment,Kendrick Lamar,Euphoria,,
,50,Kendrick Lamar – Luther,Low personal taste — experiment,Kendrick Lamar,Luther,,
,50,Kendrick Lamar – wacced out murals,Low personal taste — experiment,Kendrick Lamar,wacced out murals,,
,50,Kendrick Lamar – gnx,Low personal taste — experiment,Kendrick Lamar,gnx,,
,50,Kendrick Lamar – squabble up,Low personal taste — experiment,Kendrick Lamar,squabble up,,
,50,Kendrick Lamar – TV Off,Low personal taste — experiment,Kendrick Lamar,TV Off,,
,50,Kendrick Lamar – Peekaboo,Low personal taste — experiment,Kendrick Lamar,Peekaboo,,
,50,Kendrick Lamar – man at the garden,Low personal taste — experiment,Kendrick Lamar,man at the garden,,
,50,Kendrick Lamar – Reincarnated,Low personal taste — experiment,Kendrick Lamar,Reincarnated,,
,50,Kendrick Lamar – Dodger Blue,Low personal taste — experiment,Kendrick Lamar,Dodger Blue,,
,50,Kendrick Lamar – Heart Pt. 6,Low personal taste — experiment,Kendrick Lamar,Heart Pt. 6,,
,50,Kendrick Lamar – Ignorance Is Bliss,Low personal taste — experiment,Kendrick Lamar,Ignorance Is Bliss,,
,50,Kendrick Lamar – P&P,Low personal taste — experiment,Kendrick Lamar,P&P,,
,50,Kendrick Lamar – Void,Low personal taste — experiment,Kendrick Lamar,Void,,
2026-09-13,80,Fix You (Coldplay),,Coldplay,Fix You,,
2026-09-13,50,Good Vibrations (The Beach Boys),,The Beach Boys,Good Vibrations,,
2026-09-13,100,I Want It That Way (Backstreet Boys),,Backstreet Boys,I Want It That Way,,
2026-09-13,80,Stayin' Alive (Bee Gees),,Bee Gees,Stayin' Alive,,
2026-09-13,77,Bitter Sweet Symphony (The Verve),,The Verve,Bitter Sweet Symphony,,
2026-09-13,50,Waterloo (ABBA),,ABBA,Waterloo,,
2026-09-13,77,Heart of Glass (Blondie),,Blondie,Heart of Glass,,
2026-09-13,70,U Can't Touch This (MC Hammer),,MC Hammer,U Can't Touch This,,
2026-09-19,80,Lemon (Kenshi Yonezu),[Found via: challenge]
2026-09-19,70,Price Tag (Jessie J),[Found via: discover]
