flag,source,rating,artist,song,genre,note
release_row_multi_track,rym,70,Shadow Community,동요 / 할시온의 관,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,10cc,I'm Not in Love / Good News,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Los 3 Sudamericanos,Endúlzame / Corazón de acero,Latin,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Los 3 Sudamericanos,Juanita Banana / Cumbia bendita,Latin,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,The 5 Stairsteps,O-o-h Child / Dear Prudence,Uncategorized,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,ABBA,Lay All Your Love on Me / On and On and On,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,"ABBA (Björn, Benny, Agnetha & Frida)",Waterloo / Watch Out,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Adele,Hometown Glory / Best for Last,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,90,Aerosmith,Dream On / Somebody,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,After This,Fields / Hollow Hills,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,60,Pierre Akendengué,Ezenge / Elowe,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Kamuran Akkor,İkimiz Bir Fidanız / Doğru Mu Doğru Mu,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,40,Los Albas,Adiós amigo / Spain,Latin,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Aloe Blacc,I Need a Dollar / Take Me Back,Jazz/Swing,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,80,Tori Amos,"Crucify / Here, in My Head",Indie/Alternative,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,Bill Anderson,Peanuts and Diamonds / Your Love Blows Me Away,Pop,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,Lynn Anderson,Rose Garden / Nothing Between Us,Country,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,70,...And You Will Know Us by the Trail of Dead,Relative Ways / Homage,Rock,"song field contains ' / ' — single/medley/EP side, not one song"
release_row_multi_track,rym,50,Animal Collective,Peacebone / Safer,Indie/Alternative,"song field contains ' / ' — single/medley/EP side, not one song"
