batch,export_line,artist,song,rym_rating,near,decision,existing_rating,reason
batch_01,56,Snoh Aalegra,Time,70,It’s the Most Wonderful Time of the Year,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
batch_01,61,ABBA,Dancing Queen / That's Me,70,Dancing Queen – ABBA,keep_existing,84,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_01,75,Ado,新時代,80,【Ado】綺羅 (Kira),add_distinct,,"Different artist, recording, or release; near-match text is not identity."
batch_01,76,Ado,踊,90,【Ado】綺羅 (Kira),add_distinct,,"Different artist, recording, or release; near-match text is not identity."
batch_01,88,a-ha,Summer Moved On,70,Calvin Harris – Summer,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
batch_01,89,a-ha,Take On Me / Love Is Reason,90,"Take On Me (A-ha, 1985)",keep_existing,75,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_01,175,Louis Armstrong,What a Wonderful World / Cabaret,90,Louis Armstrong – What A Wonderful World,keep_existing,95,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,3,B'z,Monster,50,Beth Crowley- Monster,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
batch_02,27,Bangles,Manic Monday / In a Different Light,70,The Bangles – Manic Monday,keep_existing,75,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,31,Bat for Lashes,Daniel / A Forest,70,Daniel – bat for Lashes,fill_blank,,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,57,The Beatles,Getting Better,70,Beatles – Getting Better,keep_existing,68,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,60,The Beatles,Hey Jude / Revolution,40,"Hey Jude (The Beatles, 1968)",keep_existing,75,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,61,The Beatles,Hey Jude [The Beatles Again],90,"Hey Jude (The Beatles, 1968)",add_distinct,,"Different artist, recording, or release; near-match text is not identity."
batch_02,68,The Beatles,Strawberry Fields Forever / Penny Lane,40,The Beatles – Penny Lane,keep_existing,70,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,72,The Beatles,While My Guitar Gently Weeps / Blackbird,100,The Beatles – While My Guitar Gently Weeps,keep_existing,95,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,74,The Beatles,Yellow Submarine / Eleanor Rigby,40,The Beatles – Yellow Submarine,keep_existing,25,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,75,The Beatles,Yesterday,80,Beatles – Yesterday,keep_existing,84,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,76,The Beatles,Yesterday / I Should Have Known Better,80,Beatles – Yesterday,keep_existing,84,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,84,Daniel Bélanger,Dans un Spoutnik,70,Daniel Bélanger – Spoutnik,keep_existing,77,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,85,Daniel Bélanger,Fous n'importe où,90,Fous n’importe où – Daniel belanger,keep_existing,90,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,86,Daniel Bélanger,Rêver mieux,70,Rever Mieux – Daniel Belanger,keep_existing,71,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,123,Björk,Army of Me,70,Army of Me – Bjork,keep_existing,70,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,138,Black Box,Ride on Time / Ghost Box,70,NF – Time,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
batch_02,153,James Blake,Retrograde / Overgrown,100,"Retrograde (James Blake, 2013)",keep_existing,97,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,170,Blue Öyster Cult,(Don't Fear) The Reaper / Tattoo Vampire,70,“Fear” by Blue October,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
batch_02,175,BoA,Better,70,"Sufjan Stevens, “Should Have Known Better”",add_distinct,,"Different artist, recording, or release; near-match text is not identity."
batch_02,185,Bon Jovi,Livin' on a Prayer,60,Bon Jovi – Living on a Prayer,keep_existing,95,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,197,David Bowie,Space Oddity / Wild Eyed Boy From Freecloud,70,David Bowie – Space Oddity,keep_existing,82,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,211,Sarah Brightman & Andrea Bocelli,Time to Say Goodbye (Con te partirò),70,NF – Time,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
batch_02,216,Broken Social Scene,Cause = Time,70,NF – Time,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
batch_02,225,Michael Bublé,Cry Me a River,80,Michael Buble – Cry Me a River,fill_blank,,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,239,Kate Bush,Hounds of Love / The Handsome Cabin Boy,60,Kate Bush – Hounds of Love,keep_existing,93,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,240,Kate Bush,Running Up That Hill / Under the Ivy,70,Kate Bush – Running Up That Hill,keep_existing,80,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,242,Kate Bush,Wuthering Heights / Kite,60,“Wuthering Heights” by Kate Bush,fill_blank,,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,246,The Byrds,Chimes of Freedom / The Bells of Rhymney,60,The Byrds – Chimes of Freedom,keep_existing,65,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,247,The Byrds,I'll Feel a Whole Lot Better / It's No Use,70,Byrds – I’ll Feel a Whole Lot Better,keep_existing,70,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,248,The Byrds,Mr. Tambourine Man / All I Really Want to Do,40,Mr. Tambourine Man – The Byrds,keep_existing,60,Same song/alternate release or ambiguous identity; existing entry takes priority.
batch_02,249,The Byrds,Mr. Tambourine Man / All I Really Want to Do / Turn! Turn! Turn!,60,Mr. Tambourine Man – The Byrds,keep_existing,60,Same song/alternate release or ambiguous identity; existing entry takes priority.
remaining,25,Caravan Palace,Panic,80,Panic! at the Disco | Hallelujah,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
remaining,28,Mariah Carey,All I Want for Christmas Is You,50,all I want for Christmas – Mariah Carey,fill_blank,,Same song/alternate release or ambiguous identity; existing entry takes priority.
remaining,44,Johnny Cash,Hurt / Personal Jesus,100,Johnny Cash – Hurt,keep_existing,99,Same song/alternate release or ambiguous identity; existing entry takes priority.
remaining,45,Johnny Cash and Tennessee Two,I Walk the Line / Get Rhythm,40,Johnny Cash – I Walk the Line,keep_existing,50,Same song/alternate release or ambiguous identity; existing entry takes priority.
remaining,65,Tracy Chapman,Fast Car / For You,80,Fast Car – Tracy Chapman,fill_blank,,Same song/alternate release or ambiguous identity; existing entry takes priority.
remaining,115,Eric Clapton,Layla / I Shot the Sheriff,80,Eric Clapton – Layla,keep_existing,98,Same song/alternate release or ambiguous identity; existing entry takes priority.
remaining,121,The Clash,Train in Vain (Stand by Me) / London Calling,70,The Clash – London Calling,fill_blank,,Same song/alternate release or ambiguous identity; existing entry takes priority.
remaining,141,Leonard Cohen / Jeff Buckley,Hallelujah,80,Panic! at the Disco | Hallelujah,add_distinct,,"Different artist, recording, or release; near-match text is not identity."
