check,group,csv_row,imported,artist,song,title,rating
artist_first_side,1,1558,False,Twenty One Pilots,HEATHENS,HEATHENS – Twenty One Pilots,92
artist_first_side,1,5143,True,Twenty One Pilots,Heathens / Trees (Livestream Version),Heathens / Trees (Livestream Version) (Twenty One Pilots),80
artist_first_side,2,2481,False,The Smashing Pumpkins,“1979”,“1979” by The Smashing Pumpkins,84
artist_first_side,2,4904,True,The Smashing Pumpkins,1979 / Bullet With Butterfly Wings,1979 / Bullet With Butterfly Wings (The Smashing Pumpkins),70
artist_first_side,3,2944,True,"ABBA (Björn, Benny, Agnetha & Frida)",Waterloo,"Waterloo (ABBA (Björn, Benny, Agnetha & Frida), 1974)",60
artist_first_side,3,2945,True,"ABBA (Björn, Benny, Agnetha & Frida)",Waterloo / Watch Out,"Waterloo / Watch Out (ABBA (Björn, Benny, Agnetha & Frida), 1974)",70
artist_first_side,4,3013,True,The Animals,The House of the Rising Sun / Don't Let Me Be Misunderstood,"The House of the Rising Sun / Don't Let Me Be Misunderstood (The Animals, 1982)",70
artist_first_side,4,3014,True,The Animals,The House of the Rising Sun / Talkin' 'Bout You,"The House of the Rising Sun / Talkin' 'Bout You (The Animals, 1964)",70
artist_first_side,5,3097,True,The Beach Boys,Good Vibrations / I Get Around,"Good Vibrations / I Get Around (The Beach Boys, 1982)",60
artist_first_side,5,3098,True,The Beach Boys,Good Vibrations / Let's Go Away for Awhile,"Good Vibrations / Let's Go Away for Awhile (The Beach Boys, 1966)",40
artist_first_side,5,3099,True,The Beach Boys,Good Vibrations / Wouldn't It Be Nice,"Good Vibrations / Wouldn't It Be Nice (The Beach Boys, 1976)",10
artist_first_side,6,3102,True,The Beach Boys,Wouldn't It Be Nice / God Only Knows,"Wouldn't It Be Nice / God Only Knows (The Beach Boys, 1966)",50
artist_first_side,6,3103,True,The Beach Boys,Wouldn't It Be Nice / Sloop John B,"Wouldn't It Be Nice / Sloop John B (The Beach Boys, 1973)",50
artist_first_side,7,3115,True,The Beatles,Let It Be,"Let It Be (The Beatles, 1972)",40
artist_first_side,7,3116,True,The Beatles,Let It Be / You Know My Name (Look Up the Number),"Let It Be / You Know My Name (Look Up the Number) (The Beatles, 1970)",40
artist_first_side,8,3173,True,Black Sabbath,Paranoid,"Paranoid (Black Sabbath, 1970)",80
artist_first_side,8,3174,True,Black Sabbath,Paranoid / The Wizard,"Paranoid / The Wizard (Black Sabbath, 1970)",70
artist_first_side,9,3426,True,Jim Croce,Time in a Bottle / Hard Time Losin' Man,Time in a Bottle / Hard Time Losin' Man (Jim Croce),80
artist_first_side,9,3427,True,Jim Croce,Time in a Bottle / Workin' at the Car Wash Blues,Time in a Bottle / Workin' at the Car Wash Blues (Jim Croce),70
artist_first_side,10,3428,True,Jim Croce,You Don't Mess Around With Jim,You Don't Mess Around With Jim (Jim Croce),70
artist_first_side,10,3429,True,Jim Croce,You Don't Mess Around With Jim / Photographs and Memories,You Don't Mess Around With Jim / Photographs and Memories (Jim Croce),70
artist_first_side,11,3448,True,The Cure,Lovesong / 2 Late,Lovesong / 2 Late (The Cure),70
artist_first_side,11,3449,True,The Cure,Love Song / Fascination Street,Love Song / Fascination Street (The Cure),70
artist_first_side,12,3729,True,Peter Gabriel,Solsbury Hill / Games Without Frontiers,Solsbury Hill / Games Without Frontiers (Peter Gabriel),60
artist_first_side,12,3730,True,Peter Gabriel,Solsbury Hill / Moribund the Burgermeister,Solsbury Hill / Moribund the Burgermeister (Peter Gabriel),70
artist_first_side,12,3731,True,Peter Gabriel,Solsbury Hill / Shaking the Tree,Solsbury Hill / Shaking the Tree (Peter Gabriel),60
artist_first_side,13,4073,True,Kinks,Waterloo Sunset,Waterloo Sunset (Kinks),40
artist_first_side,13,4076,True,The Kinks,Waterloo Sunset / Act Nice and Gentle,Waterloo Sunset / Act Nice and Gentle (The Kinks),70
artist_first_side,14,4108,True,Kraftwerk,Trans Europa Express,Trans Europa Express (Kraftwerk),60
artist_first_side,14,4109,True,Kraftwerk,Trans Europa Express / Franz Schubert,Trans Europa Express / Franz Schubert (Kraftwerk),60
artist_first_side,15,4341,True,Metallica,Master of Puppets,Master of Puppets (Metallica),80
artist_first_side,15,4342,True,Metallica,"Master of Puppets / Welcome Home ""Sanitarium""","Master of Puppets / Welcome Home ""Sanitarium"" (Metallica)",70
artist_first_side,16,4879,True,Simon & Garfunkel,The Sounds of Silence / I Am a Rock,The Sounds of Silence / I Am a Rock (Simon & Garfunkel),70
artist_first_side,16,4880,True,Simon & Garfunkel,The Sounds of Silence / We've Got a Groovey Thing Goin',The Sounds of Silence / We've Got a Groovey Thing Goin' (Simon & Garfunkel),70
artist_first_side,17,5018,True,The Supremes,Baby Love,Baby Love (The Supremes),80
artist_first_side,17,5019,True,The Supremes,Baby Love / Ask Any Girl,Baby Love / Ask Any Girl (The Supremes),80
